path,label
data\plant_village\Tomato___Leaf_Mold\d909406f-7eb4-4498-a31f-0a1b3535cb35___Crnl_L.Mold 8797.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___Leaf_Mold\9ff27ae7-aa02-4fc3-b83d-29e3debb45cb___Crnl_L.Mold 9049.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___Late_blight\e14dc5d0-5671-43e0-9d32-a8331c9455a4___RS_Late.B 6123.JPG,Tomato___Late_blight
data\plant_village\Tomato___Early_blight\f459c3ee-91f9-42e4-8a61-8c2b6ba9a435___RS_Erly.B 9522.JPG,Tomato___Early_blight
data\plant_village\Potato___healthy\774875d3-438a-4305-afe2-7d59e2925dc4___RS_HL 1759.JPG,Potato___healthy
data\plant_village\Potato___Early_blight\f0f41a0d-7679-4e56-85df-44934fe0cb3b___RS_Early.B 7054.JPG,Potato___Early_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\8bd00ab3-c739-4483-99f5-5d1d5f67386e___NREC_B.Spot 9163.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Late_blight\15dc06c9-506a-470b-a015-14dcb585389f___GHLB_PS Leaf 15 Day 8.jpg,Tomato___Late_blight
data\plant_village\Potato___Late_blight\3456a2d1-59d1-4111-9cc8-16a6b12e973e___RS_LB 5249.JPG,Potato___Late_blight
"data\plant_village\Pepper,_bell___healthy\9fc9ea86-e97f-4b96-8838-6e614196b2f6___JR_HL 8054.JPG","Pepper,_bell___healthy"
"data\plant_village\Pepper,_bell___healthy\3bf92c1d-5e79-4c88-98b1-3fdfea7645a6___JR_HL 8162.JPG","Pepper,_bell___healthy"
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1826.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Leaf_Mold\4da69391-2910-4fa5-9a74-58c7fe0890c2___Crnl_L.Mold 8622.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___healthy\f2f5162b-7cc7-4315-8692-d1eaab98c554___GH_HL Leaf 507.2.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\f33fb36e-18f9-4b55-a03c-c896e5c23186___JR_HL 5962.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Early_blight\0c221e01-a85e-4794-b45b-3a91e349a8d2___RS_Erly.B 6425.JPG,Tomato___Early_blight
"data\plant_village\Pepper,_bell___healthy\e3ff1fdf-81d0-4089-b76d-f2390159a247___JR_HL 8462.JPG","Pepper,_bell___healthy"
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2265.JPG,Corn_(maize)___Common_rust_
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2561.JPG,Corn_(maize)___Common_rust_
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2201.JPG,Corn_(maize)___Common_rust_
data\plant_village\Potato___Early_blight\c5c57ff6-cff1-4be6-a2fd-324efc139881___RS_Early.B 7450.JPG,Potato___Early_blight
data\plant_village\Tomato___Leaf_Mold\4541dd58-9728-4492-8729-f4f174d774ac___Crnl_L.Mold 8992.JPG,Tomato___Leaf_Mold
data\plant_village\Potato___Late_blight\58475c1a-a4c2-43bd-b361-60523b5c62d2___RS_LB 3912.JPG,Potato___Late_blight
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2627.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___healthy\8425f91b-b758-4e82-a7cc-6ecc862c1a00___RS_HL 0255.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\7a72c715-f797-41d0-b8eb-7c02f9cd5086___GHLB Leaf 23.3 Day 12.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___healthy\a9a683f3-e87f-4cd9-8930-65a8c13b519b___JR_HL 7889.JPG","Pepper,_bell___healthy"
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1638.JPG,Corn_(maize)___Common_rust_
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2182.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___healthy\223cb57a-b9b7-4c9a-b03e-701a8548ff4d___GH_HL Leaf 248.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\2f07c3a8-90db-4d61-b8e3-55b3c016c510___GH_HL Leaf 382.1.JPG,Tomato___healthy
data\plant_village\Potato___Late_blight\d66ee513-26cc-4676-8aeb-9902e0969d2b___RS_LB 3999.JPG,Potato___Late_blight
data\plant_village\Tomato___Early_blight\caf4e799-6574-4eb6-81df-edd5d256fd45___RS_Erly.B 7536.JPG,Tomato___Early_blight
data\plant_village\Tomato___Late_blight\0c3153b2-0e64-41b6-902a-66eafbf7cae6___GHLB Leaf 4.1 Day 1.JPG,Tomato___Late_blight
data\plant_village\Tomato___Late_blight\f8024ad7-ded1-42aa-ab6d-139f7069d10e___RS_Late.B 7157.JPG,Tomato___Late_blight
data\plant_village\Tomato___Late_blight\3521d97f-cc36-4581-a2fa-f999f34a6558___GHLB2 Leaf 152.1.JPG,Tomato___Late_blight
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1586.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___healthy\9630e186-4b6c-492b-b450-a30bd7fd7fcb___GH_HL Leaf 322.1.JPG,Tomato___healthy
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2071.JPG,Corn_(maize)___Common_rust_
